transaction_id,transaction_date,category,merchant,amount,txn_type
1,2024-07-01,Salary,Employer Inc,55618.1,credit
2,2024-07-01,Entertainment,PVR Cinemas,-486.76,debit
3,2024-07-01,Entertainment,Spotify,-284.47,debit
4,2024-07-02,Entertainment,Netflix,-384.16,debit
5,2024-07-02,SHOPPING,Myntra,-851.97,debit
6,2024-07-03,Healthcare,Apollo Pharmacy,-231.81,debit
7,2024-07-03,Groceries,Local Kirana,-552.37,debit
8,2024-07-03,EDUCATION,College Fee,-982.54,debit
9,2024-07-03,Dining,Swiggy,-188.89,debit
10,2024-07-03,Utilities,Water Dept,-615.27,debit
11,2024-07-04,GROCERIES,BigBasket,-244.42,debit
12,2024-07-04,Groceries,BigBasket,-404.81,debit
13,2024-07-04,Shopping,Flipkart,-570.62,debit
14,2024-07-04,Groceries,DMart,-291.85,debit
15,2024-07-04,Entertainment,PVR Cinemas,-374.85,debit
16,2024-07-04,Transport,Uber,-308.25,debit
17,2024-07-05,RENT,Landlord Transfer,-9664.89,debit
18,2024-07-05,Shopping,Amazon,-333.79,debit
19,2024-07-05,Transport,Petrol Pump,-213.37,debit
20,2024-07-05,Dining,Cafe Coffee Day,-372.08,debit
21,2024-07-05,Utilities,Airtel Broadband,-989.31,debit
22,2024-07-06,Utilities,Water Dept,-522.88,debit
23,2024-07-07,Groceries,BigBasket,-327.99,debit
24,2024-07-07,Shopping,Amazon,-1333.4,debit
25,2024-07-07,Utilities,Airtel Broadband,-862.03,debit
26,2024-07-07,Entertainment,Netflix,-222.76,debit
27,2024-07-08,Groceries,Local Kirana,-340.12,debit
28,2024-07-08,SHOPPING,Local Store,-1266.49,debit
29,2024-07-08,GROCERIES,Reliance Fresh,-289.64,debit
30,2024-07-08,Healthcare,Apollo Pharmacy,-903.91,debit
31,2024-07-09,TRANSPORT,Petrol Pump,-152.72,debit
32,2024-07-09,Groceries,Reliance Fresh,-549.28,debit
33,2024-07-09,Entertainment,PVR Cinemas,-293.86,debit
34,2024-07-10,Utilities,Electricity Board,-681.24,debit
35,2024-07-10,Healthcare,Local Clinic,-386.98,debit
36,2024-07-10,Groceries,DMart,-331.99,debit
37,2024-07-11,Groceries,DMart,-349.68,debit
38,2024-07-11,Groceries,DMart,-497.61,debit
39,2024-07-11,Shopping,Flipkart,-417.14,debit
40,2024-07-12,DINING,Cafe Coffee Day,-394.37,debit
41,2024-07-12,Groceries,BigBasket,-413.6,debit
42,2024-07-12,Groceries,Reliance Fresh,-514.65,debit
43,2024-07-12,Transport,Metro Card,-388.49,debit
44,2024-07-12,Healthcare,Health Insurance,-608.94,debit
45,2024-07-12,Healthcare,Local Clinic,-601.22,debit
46,2024-07-13,Entertainment,BookMyShow,-231.33,debit
47,2024-07-13,Groceries,Reliance Fresh,-425.83,debit
48,2024-07-13,Dining,McDonalds,-224.74,debit
49,2024-07-14,EDUCATION,College Fee,-1002.15,debit
50,2024-07-14,Utilities,Electricity Board,-730.1,debit
51,2024-07-14,Transport,Uber,-178.78,debit
52,2024-07-16,DINING,Domino's,-319.15,debit
53,2024-07-16,Entertainment,Netflix,-325.22,debit
54,2024-07-17,Groceries,DMart,-498.7,debit
55,2024-07-17,Dining,Swiggy,-316.06,debit
56,2024-07-17,Groceries,Reliance Fresh,-633.92,debit
57,2024-07-19,Shopping,Myntra,-1067.81,debit
58,2024-07-19,ENTERTAINMENT,BookMyShow,-169.8,debit
59,2024-07-19,ENTERTAINMENT,PVR Cinemas,-395.75,debit
60,2024-07-19,Dining,Cafe Coffee Day,-136.71,debit
61,2024-07-20,Education,College Fee,-372.82,debit
62,2024-07-20,UTILITIES,Airtel Broadband,-893.63,debit
63,2024-07-20,Education,Udemy,-742.4,debit
64,2024-07-21,Groceries,Reliance Fresh,-548.84,debit
65,2024-07-21,Transport,Metro Card,-321.6,debit
66,2024-07-21,UTILITIES,Electricity Board,-817.49,debit
67,2024-07-22,Groceries,DMart,-688.39,debit
68,2024-07-23,Entertainment,BookMyShow,-352.01,debit
69,2024-07-24,Transport,Uber,-286.64,debit
70,2024-07-24,Dining,Cafe Coffee Day,-320.61,debit
71,2024-07-25,SHOPPING,Local Store,-816.16,debit
72,2024-07-25,Groceries,BigBasket,-452.24,debit
73,2024-07-25,Entertainment,Spotify,-173.86,debit
74,2024-07-25,GROCERIES,Local Kirana,-545.64,debit
75,2024-07-26,Groceries,DMart,-698.42,debit
76,2024-07-26,Shopping,Local Store,-1172.74,debit
77,2024-07-26,Groceries,Local Kirana,-262.79,debit
78,2024-07-26,Shopping,Myntra,-951.79,debit
79,2024-07-27,Shopping,Flipkart,-396.38,debit
80,2024-07-27,Entertainment,PVR Cinemas,-458.03,debit
81,2024-07-28,GROCERIES,Local Kirana,-640.91,debit
82,2024-07-28,GROCERIES,Local Kirana,-418.22,debit
83,2024-07-28,Groceries,BigBasket,-154.97,debit
84,2024-07-29,SHOPPING,Amazon,-1307.85,debit
85,2024-07-30,Dining,Zomato,-175.84,debit
86,2024-07-30,ENTERTAINMENT,BookMyShow,-394.17,debit
87,2024-07-31,SHOPPING,Flipkart,-1265.93,debit
88,2024-08-01,SALARY,Employer Inc,64260.71,credit
89,2024-08-01,Groceries,Local Kirana,-449.67,debit
90,2024-08-02,Dining,Domino's,-346.19,debit
