transaction_id,transaction_date,category,merchant,amount,txn_type,year_month,day_of_week,month_name
1,2024-07-01,Salary,Employer Inc,55618.1,credit,2024-07,Monday,Jul 2024
2,2024-07-01,Entertainment,PVR Cinemas,-486.76,debit,2024-07,Monday,Jul 2024
3,2024-07-01,Entertainment,Spotify,-284.47,debit,2024-07,Monday,Jul 2024
4,2024-07-02,Entertainment,Netflix,-384.16,debit,2024-07,Tuesday,Jul 2024
5,2024-07-02,Shopping,Myntra,-851.97,debit,2024-07,Tuesday,Jul 2024
6,2024-07-03,Healthcare,Apollo Pharmacy,-231.81,debit,2024-07,Wednesday,Jul 2024
7,2024-07-03,Groceries,Local Kirana,-552.37,debit,2024-07,Wednesday,Jul 2024
8,2024-07-03,Education,College Fee,-982.54,debit,2024-07,Wednesday,Jul 2024
9,2024-07-03,Dining,Swiggy,-188.89,debit,2024-07,Wednesday,Jul 2024
10,2024-07-03,Utilities,Water Dept,-615.27,debit,2024-07,Wednesday,Jul 2024
11,2024-07-04,Entertainment,PVR Cinemas,-374.85,debit,2024-07,Thursday,Jul 2024
12,2024-07-04,Groceries,DMart,-291.85,debit,2024-07,Thursday,Jul 2024
13,2024-07-04,Transport,Uber,-308.25,debit,2024-07,Thursday,Jul 2024
14,2024-07-04,Groceries,BigBasket,-404.81,debit,2024-07,Thursday,Jul 2024
15,2024-07-04,Groceries,BigBasket,-244.42,debit,2024-07,Thursday,Jul 2024
16,2024-07-04,Shopping,Flipkart,-570.62,debit,2024-07,Thursday,Jul 2024
17,2024-07-05,Rent,Landlord Transfer,-9664.89,debit,2024-07,Friday,Jul 2024
18,2024-07-05,Shopping,Amazon,-333.79,debit,2024-07,Friday,Jul 2024
19,2024-07-05,Transport,Petrol Pump,-213.37,debit,2024-07,Friday,Jul 2024
20,2024-07-05,Dining,Cafe Coffee Day,-372.08,debit,2024-07,Friday,Jul 2024
21,2024-07-05,Utilities,Airtel Broadband,-989.31,debit,2024-07,Friday,Jul 2024
22,2024-07-06,Utilities,Water Dept,-522.88,debit,2024-07,Saturday,Jul 2024
23,2024-07-07,Groceries,BigBasket,-327.99,debit,2024-07,Sunday,Jul 2024
24,2024-07-07,Shopping,Amazon,-1333.4,debit,2024-07,Sunday,Jul 2024
25,2024-07-07,Utilities,Airtel Broadband,-862.03,debit,2024-07,Sunday,Jul 2024
26,2024-07-07,Entertainment,Netflix,-222.76,debit,2024-07,Sunday,Jul 2024
27,2024-07-08,Groceries,Local Kirana,-340.12,debit,2024-07,Monday,Jul 2024
28,2024-07-08,Shopping,Local Store,-1266.49,debit,2024-07,Monday,Jul 2024
